name,side,path,visited,explored
a_star,10,9.22,11.8,60.6
a_star_boosted,10,9.22,9.8,54.6
a_star,20,19.162,61.8,244.6
a_star_boosted,20,19.162,38.8,166.2
a_star,30,33.766,184.6,669.2
a_star_boosted,30,33.766,134.2,502.4
a_star,40,36.868,212.0,761.6
a_star_boosted,40,36.868,134.2,510.2
a_star,50,48.908,416.4,1497.8
a_star_boosted,50,48.908,276.0,1021.6
a_star,60,55.04600000000001,438.2,1600.4
a_star_boosted,60,55.21,256.0,976.8
a_star,70,65.998,494.8,1815.4
a_star_boosted,70,65.998,177.0,735.0
a_star,80,76.556,764.6,2782.2
a_star_boosted,80,76.582,314.8,1227.6
a_star,90,88.28999999999999,1153.6,4094.4
a_star_boosted,90,88.52600000000001,722.4,2631.8
a_star,100,88.276,998.4,3564.6
a_star_boosted,100,88.276,396.4,1524.8
a_star,110,97.772,1363.4,4846.4
a_star_boosted,110,97.88999999999999,509.6,1936.0
a_star,120,111.05999999999999,1871.6,6578.6
a_star_boosted,120,111.05999999999999,809.6,2935.8
a_star,130,126.90599999999999,2202.0,7677.0
a_star_boosted,130,126.90599999999999,924.0,3405.6
a_star,140,147.256,2924.2,10246.2
a_star_boosted,140,147.61,1092.2,4109.8
a_star,150,141.476,3167.0,11035.0
a_star_boosted,150,141.96800000000002,1749.6,6252.4
