name,side,path,visited,explored
a_star,10,50.17,118.4,160.2
dijkstra,10,50.17,133.0,177.4
wave,10,50.17,233.0,279.8
a_star,20,162.24200000000002,449.0,601.0
dijkstra,20,162.24200000000002,499.6,666.6
wave,20,162.24200000000002,868.2,1041.6
a_star,30,408.492,1097.8,1481.8
dijkstra,30,408.492,1146.2,1544.4
wave,30,408.492,1991.4,2400.8
a_star,40,498.0540000000001,1605.6,2156.2
dijkstra,40,498.0540000000001,1711.8,2298.2
wave,40,498.0540000000001,2991.8,3597.0
a_star,50,805.732,2977.2,4021.6
dijkstra,50,805.732,3108.2,4192.8
wave,50,805.732,5390.2,6505.6
